codigo,nombre_mapa,comuna_id,total_predios
4,Comuna 4,04,14941
8,Comuna 8,08,21001
17,Comuna 17,17,100434
2,Comuna 2,02,87499
3,Comuna 3,03,24285
19,Comuna 19,19,63728
5,Comuna 5,05,36474
9,Comuna 9,09,12681
22,Comuna 22,22,22826
6,Comuna 6,06,33387
7,Comuna 7,07,14583
12,Comuna 12,12,11217
13,Comuna 13,13,31978
11,Comuna 11,11,16991
10,Comuna 10,10,25314
20,Comuna 20,20,14106
16,Comuna 16,16,20109
18,Comuna 18,18,31725
1,Comuna 1,01,16648
15,Comuna 15,15,31924
21,Comuna 21,21,32447
14,Comuna 14,14,32771
56,Los Andes,56,13470
60,El Saladito,60,1429
64,Montebello,64,4291
62,La Castilla,62,1043
55,Villacarmelo,55,756
54,La Buitrera,54,12948
59,Felidia,59,1241
61,La Elvira,61,982
63,La Paz,63,387
58,La Leonera,58,867
57,Pichinde,57,431
52,El Hormiguero,52,1881
51,Navarro,51,2818
53,Pance,53,4814
65,Golondrinas,65,1357
