codigo,nombre_mapa,tipo_zona,comuna_id,total_predios,latitud,longitud,ubicacion,etiqueta_mapa
4,Comuna 4,Comuna,04,14941,3.471013734414025,-76.51042023943552,"3.4710137,-76.5104202",4
8,Comuna 8,Comuna,08,21001,3.4457285164790568,-76.50416261909487,"3.4457285,-76.5041626",8
17,Comuna 17,Comuna,17,100434,3.386210387051114,-76.52931036082663,"3.3862104,-76.5293104",17
2,Comuna 2,Comuna,02,87499,3.472401592980728,-76.52302956514524,"3.4724016,-76.5230296",2
3,Comuna 3,Comuna,03,24285,3.450504633708211,-76.5357556342644,"3.4505046,-76.5357556",3
19,Comuna 19,Comuna,19,63728,3.4214774104959775,-76.54408089808175,"3.4214774,-76.5440809",19
5,Comuna 5,Comuna,05,36474,3.473105885652121,-76.49503145506671,"3.4731059,-76.4950315",5
9,Comuna 9,Comuna,09,12681,3.4424988368500484,-76.52509811177413,"3.4424988,-76.5250981",9
22,Comuna 22,Comuna,22,22826,3.3536878750403343,-76.53503590007682,"3.3536879,-76.5350359",22
6,Comuna 6,Comuna,06,33387,3.48574572805908,-76.48808384706517,"3.4857457,-76.4880838",6
7,Comuna 7,Comuna,07,14583,3.455915192557918,-76.49313282114915,"3.4559152,-76.4931328",7
12,Comuna 12,Comuna,12,11217,3.4343099656940126,-76.50342712186043,"3.43431,-76.5034271",12
13,Comuna 13,Comuna,13,31978,3.427952650020657,-76.49151679897497,"3.4279527,-76.4915168",13
11,Comuna 11,Comuna,11,16991,3.4198756657204177,-76.51439582633591,"3.4198757,-76.5143958",11
10,Comuna 10,Comuna,10,25314,3.42050926661108,-76.52825127173328,"3.4205093,-76.5282513",10
20,Comuna 20,Comuna,20,14106,3.420114617119137,-76.55985692670616,"3.4201146,-76.5598569",20
16,Comuna 16,Comuna,16,20109,3.4041572904702413,-76.51524579074463,"3.4041573,-76.5152458",16
18,Comuna 18,Comuna,18,31725,3.3813279497525075,-76.55202303327945,"3.3813279,-76.552023",18
1,Comuna 1,Comuna,01,16648,3.45813835563869,-76.55616436313076,"3.4581384,-76.5561644",1
15,Comuna 15,Comuna,15,31924,3.4039013992393015,-76.5028639453516,"3.4039014,-76.5028639",15
21,Comuna 21,Comuna,21,32447,3.4243907150364725,-76.46418604008007,"3.4243907,-76.464186",21
14,Comuna 14,Comuna,14,32771,3.4264812008054433,-76.47605899875359,"3.4264812,-76.476059",14
56,Los Andes,Corregimiento,56,13470,3.4114067523751817,-76.61199157473001,"3.4114068,-76.6119916",56
60,El Saladito,Corregimiento,60,1429,3.48667626822081,-76.61283461028486,"3.4866763,-76.6128346",60
64,Montebello,Corregimiento,64,4291,3.4758401916917547,-76.5507649278929,"3.4758402,-76.5507649",64
62,La Castilla,Corregimiento,62,1043,3.489435375393178,-76.57924959681745,"3.4894354,-76.5792496",62
55,Villacarmelo,Corregimiento,55,756,3.3799546761578374,-76.6256702424767,"3.3799547,-76.6256702",55
54,La Buitrera,Corregimiento,54,12948,3.3785790562043716,-76.57973794367359,"3.3785791,-76.5797379",54
59,Felidia,Corregimiento,59,1241,3.440501988864203,-76.69114684872535,"3.440502,-76.6911468",59
61,La Elvira,Corregimiento,61,982,3.520117548269347,-76.60268002637778,"3.5201175,-76.60268",61
63,La Paz,Corregimiento,63,387,3.513441588731167,-76.57029130644916,"3.5134416,-76.5702913",63
58,La Leonera,Corregimiento,58,867,3.437453151913715,-76.6708229253025,"3.4374532,-76.6708229",58
57,Pichinde,Corregimiento,57,431,3.431476143192639,-76.65727957785629,"3.4314761,-76.6572796",57
52,El Hormiguero,Corregimiento,52,1881,3.3268660639488186,-76.49099558027393,"3.3268661,-76.4909956",52
51,Navarro,Corregimiento,51,2818,3.4030182364145123,-76.48745265776118,"3.4030182,-76.4874527",51
53,Pance,Corregimiento,53,4814,3.322917383277444,-76.60964635171484,"3.3229174,-76.6096464",53
65,Golondrinas,Corregimiento,65,1357,3.4817076154023434,-76.53812932122644,"3.4817076,-76.5381293",65
